# code name : Parallel Tempering for 2D Ferromagnetic Ising Model
# author : Andrew Noble
# version : v0.1
# inspired by : Prof. Helmut Katzgraber

# system size : 20
# number of spins : 400
# space dimension : 2
# lattice coordination number : 4
# process ID : 12523
# hostname : Andrews-MacBook-Pro-4.local
# job start : Sun Mar  1 23:14:55 2020

# temperature set
# | 0.10
# | 0.13
# | 0.16
# | 0.20
# | 0.25
# | 0.32
# | 0.40
# | 0.50
# | 0.63
# | 0.79
# | 1.00
# | 1.26
# | 1.58
# | 2.00
# | 2.51
# | 3.16
# | 3.98
# | 5.01
# | 6.31
# | 7.94
# | 10.00

# T MCS <energy> <m>
0.3200 17000 -2.0000 1.0000
0.4000 17000 -2.0000 1.0000
0.5000 17000 -2.0000 1.0000
0.6300 17000 -2.0000 1.0000
0.7900 17000 -2.0000 1.0000
1.0000 17000 -2.0000 1.0000
1.2600 17000 -1.9800 0.9950
1.5800 17000 -1.9000 0.9700
2.0000 17000 -1.5900 0.8650
2.5100 17000 -1.0200 0.0300
3.1600 17000 -0.7800 0.0550
3.9800 17000 -0.5500 0.2500
5.0100 17000 -0.4100 0.0050
6.3100 17000 -0.3800 0.0950
7.9400 17000 -0.2700 0.0750
10.0000 17000 -0.1700 0.0050

0.1000 18000 -2.0000 1.0000
0.1300 18000 -2.0000 1.0000
0.1600 18000 -2.0000 1.0000
0.2000 18000 -2.0000 1.0000
0.2500 18000 -2.0000 1.0000
0.3200 18000 -2.0000 1.0000
0.4000 18000 -2.0000 1.0000
0.5000 18000 -2.0000 1.0000
0.6300 18000 -2.0000 1.0000
0.7900 18000 -2.0000 1.0000
1.0000 18000 -1.9800 0.9950
1.2600 18000 -1.9800 0.9950
1.5800 18000 -2.0000 1.0000
2.0000 18000 -1.7800 0.9100
2.5100 18000 -1.0800 0.2750
3.1600 18000 -0.8900 0.0150
3.9800 18000 -0.6900 0.0650
5.0100 18000 -0.4300 0.1350
6.3100 18000 -0.4000 0.1250
7.9400 18000 -0.2500 0.0800
10.0000 18000 -0.1800 0.0700

0.1000 19000 -2.0000 1.0000
0.1300 19000 -2.0000 1.0000
0.1600 19000 -2.0000 1.0000
0.2000 19000 -2.0000 1.0000
0.2500 19000 -2.0000 1.0000
0.3200 19000 -2.0000 1.0000
0.4000 19000 -2.0000 1.0000
0.5000 19000 -2.0000 1.0000
0.6300 19000 -2.0000 1.0000
0.7900 19000 -2.0000 1.0000
1.0000 19000 -2.0000 1.0000
1.2600 19000 -1.9600 0.9900
1.5800 19000 -2.0000 1.0000
2.0000 19000 -1.7900 0.9400
2.5100 19000 -1.2600 0.5850
3.1600 19000 -0.6200 0.0700
3.9800 19000 -0.5000 0.1100
5.0100 19000 -0.4900 0.1350
6.3100 19000 -0.1700 0.0150
7.9400 19000 -0.1300 0.0600
10.0000 19000 -0.3000 0.0050

0.1000 20000 -2.0000 1.0000
0.1300 20000 -2.0000 1.0000
0.1600 20000 -2.0000 1.0000
0.2000 20000 -2.0000 1.0000
0.2500 20000 -2.0000 1.0000
0.3200 20000 -2.0000 1.0000
0.4000 20000 -2.0000 1.0000
0.5000 20000 -2.0000 1.0000
0.6300 20000 -2.0000 1.0000
0.7900 20000 -2.0000 1.0000
1.0000 20000 -2.0000 1.0000
1.2600 20000 -2.0000 1.0000
1.5800 20000 -1.9800 0.9950
2.0000 20000 -1.7000 0.8950
2.5100 20000 -0.9800 0.4200
3.1600 20000 -0.8700 0.2200
3.9800 20000 -0.5200 0.0950
5.0100 20000 -0.4600 0.0500
6.3100 20000 -0.3700 0.0050
7.9400 20000 -0.2400 0.1100
10.0000 20000 -0.1600 0.0850

0.1000 21000 -2.0000 1.0000
0.1300 21000 -2.0000 1.0000
0.1600 21000 -2.0000 1.0000
0.2000 21000 -2.0000 1.0000
0.2500 21000 -2.0000 1.0000
0.3200 21000 -2.0000 1.0000
0.4000 21000 -2.0000 1.0000
0.5000 21000 -2.0000 1.0000
0.6300 21000 -2.0000 1.0000
0.7900 21000 -2.0000 1.0000
1.0000 21000 -2.0000 1.0000
1.2600 21000 -1.9600 0.9900
1.5800 21000 -1.9000 0.9750
2.0000 21000 -1.7300 0.9100
2.5100 21000 -0.9900 0.2900
3.1600 21000 -0.7600 0.1750
3.9800 21000 -0.5900 0.0500
5.0100 21000 -0.4400 0.2200
6.3100 21000 -0.4300 0.0050
7.9400 21000 -0.2600 0.0900
10.0000 21000 -0.2700 0.0100

0.1000 22000 -2.0000 1.0000
0.1300 22000 -2.0000 1.0000
0.1600 22000 -2.0000 1.0000
0.2000 22000 -2.0000 1.0000
0.2500 22000 -2.0000 1.0000
0.3200 22000 -2.0000 1.0000
0.4000 22000 -2.0000 1.0000
0.5000 22000 -2.0000 1.0000
0.6300 22000 -2.0000 1.0000
0.7900 22000 -2.0000 1.0000
1.0000 22000 -1.9800 0.9950
1.2600 22000 -1.9800 0.9950
1.5800 22000 -1.9800 0.9950
2.0000 22000 -1.7700 0.9150
2.5100 22000 -1.0400 0.3550
3.1600 22000 -0.6300 0.1500
3.9800 22000 -0.4600 0.0250
5.0100 22000 -0.3300 0.0200
6.3100 22000 -0.2300 0.0800
7.9400 22000 -0.1300 0.0800
10.0000 22000 -0.2100 0.0000

0.1000 23000 -2.0000 1.0000
0.1300 23000 -2.0000 1.0000
0.1600 23000 -2.0000 1.0000
0.2000 23000 -2.0000 1.0000
0.2500 23000 -2.0000 1.0000
0.3200 23000 -2.0000 1.0000
0.4000 23000 -2.0000 1.0000
0.5000 23000 -2.0000 1.0000
0.6300 23000 -2.0000 1.0000
0.7900 23000 -2.0000 1.0000
1.0000 23000 -2.0000 1.0000
1.2600 23000 -1.9800 0.9950
1.5800 23000 -1.9000 0.9700
2.0000 23000 -1.6800 0.8950
2.5100 23000 -1.1600 0.5350
3.1600 23000 -0.7600 0.0250
3.9800 23000 -0.5300 0.0150
5.0100 23000 -0.4200 0.0100
6.3100 23000 -0.4300 0.0100
7.9400 23000 -0.2900 0.0600
10.0000 23000 -0.2700 0.0350

0.1000 24000 -2.0000 1.0000
0.1300 24000 -2.0000 1.0000
0.1600 24000 -2.0000 1.0000
0.2000 24000 -2.0000 1.0000
0.2500 24000 -2.0000 1.0000
0.3200 24000 -2.0000 1.0000
0.4000 24000 -2.0000 1.0000
0.5000 24000 -2.0000 1.0000
0.6300 24000 -2.0000 1.0000
0.7900 24000 -2.0000 1.0000
1.0000 24000 -2.0000 1.0000
1.2600 24000 -2.0000 1.0000
1.5800 24000 -1.9500 0.9850
2.0000 24000 -1.6600 0.8900
2.5100 24000 -1.0300 0.0050
3.1600 24000 -0.6800 0.0700
3.9800 24000 -0.4600 0.0150
